Дата,Значение,year,month,dayofmonth,quarter,dayofyear,weekofyear,dayofweek,is_holiday,is_prev_holiday,is_next_holiday
2011-08-24,110.0,2011,8,24,3,236,34,2,0,0,0
2011-08-25,110.48,2011,8,25,3,237,34,3,0,0,0
2011-08-26,111.25,2011,8,26,3,238,34,4,0,0,0
2011-08-28,111.2,2011,8,28,3,240,34,6,0,0,0
2011-08-29,112.31,2011,8,29,3,241,35,0,0,0,0
2011-08-30,114.0,2011,8,30,3,242,35,1,0,0,0
2011-08-31,114.49,2011,8,31,3,243,35,2,0,0,0
2011-09-01,114.2,2011,9,1,3,244,35,3,0,0,0
2011-09-02,112.52,2011,9,2,3,245,35,4,0,0,0
2011-09-04,112.23,2011,9,4,3,247,35,6,0,1,0
2011-09-05,110.08,2011,9,5,3,248,36,0,1,0,0
2011-09-06,113.35,2011,9,6,3,249,36,1,0,0,1
2011-09-07,116.22,2011,9,7,3,250,36,2,0,0,0
2011-09-08,114.1,2011,9,8,3,251,36,3,0,0,0
2011-09-09,110.52,2011,9,9,3,252,36,4,0,0,0
2011-09-11,109.93,2011,9,11,3,254,36,6,0,0,0
2011-09-12,110.74,2011,9,12,3,255,37,0,0,0,0
2011-09-13,109.51,2011,9,13,3,256,37,1,0,0,0
2011-09-14,109.65,2011,9,14,3,257,37,2,0,0,0
2011-09-15,112.25,2011,9,15,3,258,37,3,0,0,0
2011-09-16,111.9,2011,9,16,3,259,37,4,0,0,0
2011-09-18,111.63,2011,9,18,3,261,37,6,0,0,0
2011-09-19,109.55,2011,9,19,3,262,38,0,0,0,0
2011-09-20,110.33,2011,9,20,3,263,38,1,0,0,0
2011-09-21,108.92,2011,9,21,3,264,38,2,0,0,0
2011-09-22,105.19,2011,9,22,3,265,38,3,0,0,0
2011-09-23,104.36,2011,9,23,3,266,38,4,0,0,0
2011-09-25,104.29,2011,9,25,3,268,38,6,0,0,0
2011-09-26,104.94,2011,9,26,3,269,39,0,0,0,0
2011-09-27,107.12,2011,9,27,3,270,39,1,0,0,0
2011-09-28,103.4,2011,9,28,3,271,39,2,0,0,0
2011-09-29,104.26,2011,9,29,3,272,39,3,0,0,0
2011-09-30,102.15,2011,9,30,3,273,39,4,0,0,0
2011-10-02,101.4,2011,10,2,4,275,39,6,0,0,0
2011-10-03,100.69,2011,10,3,4,276,40,0,0,0,0
2011-10-04,101.96,2011,10,4,4,277,40,1,0,0,0
2011-10-05,102.77,2011,10,5,4,278,40,2,0,0,0
2011-10-06,105.4,2011,10,6,4,279,40,3,0,0,0
2011-10-07,105.91,2011,10,7,4,280,40,4,0,0,0
2011-10-09,104.13,2011,10,9,4,282,40,6,0,1,0
2011-10-20,109.93,2011,10,20,4,293,42,3,0,0,0
2011-10-21,109.79,2011,10,21,4,294,42,4,0,0,0
2011-10-23,109.55,2011,10,23,4,296,42,6,0,0,0
2011-10-24,111.2,2011,10,24,4,297,43,0,0,0,0
2011-10-25,111.02,2011,10,25,4,298,43,1,0,0,0
2011-10-26,109.5,2011,10,26,4,299,43,2,0,0,0
2011-10-27,112.35,2011,10,27,4,300,43,3,0,0,0
2011-10-28,110.16,2011,10,28,4,301,43,4,0,0,0
2011-10-30,109.85,2011,10,30,4,303,43,6,0,0,0
2011-10-31,109.19,2011,10,31,4,304,44,0,0,0,0
2011-11-01,109.54,2011,11,1,4,305,44,1,0,0,0
2011-11-02,109.73,2011,11,2,4,306,44,2,0,0,0
2011-11-03,110.83,2011,11,3,4,307,44,3,0,0,0
2011-11-04,112.48,2011,11,4,4,308,44,4,0,0,0
2011-11-06,113.15,2011,11,6,4,310,44,6,0,0,0
2011-11-07,114.88,2011,11,7,4,311,45,0,0,0,0
2011-11-08,115.14,2011,11,8,4,312,45,1,0,0,0
2011-11-09,111.17,2011,11,9,4,313,45,2,0,0,0
2011-11-10,111.9,2011,11,10,4,314,45,3,0,1,0
2011-11-11,112.96,2011,11,11,4,315,45,4,1,0,0
2011-11-13,113.3,2011,11,13,4,317,45,6,0,0,0
2011-11-14,111.27,2011,11,14,4,318,46,0,0,0,0
2011-11-15,112.2,2011,11,15,4,319,46,1,0,0,0
2011-11-16,110.89,2011,11,16,4,320,46,2,0,0,0
2011-11-17,107.74,2011,11,17,4,321,46,3,0,0,0
2011-11-18,107.81,2011,11,18,4,322,46,4,0,0,0
2011-11-20,107.48,2011,11,20,4,324,46,6,0,0,0
2011-11-21,106.7,2011,11,21,4,325,47,0,0,0,0
2011-11-22,108.62,2011,11,22,4,326,47,1,0,0,0
2011-11-23,106.94,2011,11,23,4,327,47,2,0,1,0
2011-11-24,107.76,2011,11,24,4,328,47,3,1,0,0
2011-11-25,106.64,2011,11,25,4,329,47,4,0,0,1
2011-11-27,107.39,2011,11,27,4,331,47,6,0,0,0
2011-11-28,108.68,2011,11,28,4,332,48,0,0,0,0
2011-11-29,110.44,2011,11,29,4,333,48,1,0,0,0
2011-11-30,110.37,2011,11,30,4,334,48,2,0,0,0
2011-12-01,109.05,2011,12,1,4,335,48,3,0,0,0
2011-12-02,110.3,2011,12,2,4,336,48,4,0,0,0
2011-12-04,110.64,2011,12,4,4,338,48,6,0,0,0
2011-12-05,109.35,2011,12,5,4,339,49,0,0,0,0
2011-12-06,110.51,2011,12,6,4,340,49,1,0,0,0
2011-12-07,109.5,2011,12,7,4,341,49,2,0,0,0
2011-12-08,107.55,2011,12,8,4,342,49,3,0,0,0
2011-12-09,108.88,2011,12,9,4,343,49,4,0,0,0
2011-12-12,106.93,2011,12,12,4,346,50,0,0,0,0
2011-12-13,109.07,2011,12,13,4,347,50,1,0,0,0
2011-12-14,103.9,2011,12,14,4,348,50,2,0,0,0
2011-12-15,103.44,2011,12,15,4,349,50,3,0,0,0
2011-12-16,103.65,2011,12,16,4,350,50,4,0,0,0
2011-12-18,103.1,2011,12,18,4,352,50,6,0,0,0
2011-12-19,103.84,2011,12,19,4,353,51,0,0,0,0
2011-12-20,107.0,2011,12,20,4,354,51,1,0,0,0
2011-12-21,107.9,2011,12,21,4,355,51,2,0,0,0
2011-12-22,107.62,2011,12,22,4,356,51,3,0,0,0
2011-12-23,108.0,2011,12,23,4,357,51,4,0,0,0
2011-12-27,108.96,2011,12,27,4,361,52,1,0,0,1
2011-12-28,107.41,2011,12,28,4,362,52,2,0,0,0
2011-12-29,108.0,2011,12,29,4,363,52,3,0,0,0
2011-12-30,107.22,2011,12,30,4,364,52,4,0,0,0
2012-01-03,112.07,2012,1,3,1,3,1,1,0,0,1
2012-01-04,113.46,2012,1,4,1,4,1,2,0,0,0
2012-01-05,112.26,2012,1,5,1,5,1,3,0,0,0
2012-01-06,113.52,2012,1,6,1,6,1,4,0,0,0
2012-01-08,113.56,2012,1,8,1,8,1,6,0,0,0
2012-01-09,112.1,2012,1,9,1,9,2,0,0,0,0
2012-01-10,113.08,2012,1,10,1,10,2,1,0,0,0
2012-01-11,112.49,2012,1,11,1,11,2,2,0,0,0
2012-01-12,110.97,2012,1,12,1,12,2,3,0,0,0
2012-01-13,110.91,2012,1,13,1,13,2,4,0,0,0
2012-01-15,110.64,2012,1,15,1,15,2,6,0,1,0
2012-01-16,111.37,2012,1,16,1,16,3,0,1,0,0
2012-01-17,111.57,2012,1,17,1,17,3,1,0,0,1
2012-01-18,110.97,2012,1,18,1,18,3,2,0,0,0
2012-01-19,111.42,2012,1,19,1,19,3,3,0,0,0
2012-01-20,110.23,2012,1,20,1,20,3,4,0,0,0
2012-01-22,109.54,2012,1,22,1,22,3,6,0,0,0
2012-01-23,110.94,2012,1,23,1,23,4,0,0,0,0
2012-01-24,110.33,2012,1,24,1,24,4,1,0,0,0
2012-01-25,110.55,2012,1,25,1,25,4,2,0,0,0
2012-01-26,111.1,2012,1,26,1,26,4,3,0,0,0
2012-01-27,111.3,2012,1,27,1,27,4,4,0,0,0
2012-01-29,111.53,2012,1,29,1,29,4,6,0,0,0
2012-01-30,110.98,2012,1,30,1,30,5,0,0,0,0
2012-01-31,111.16,2012,1,31,1,31,5,1,0,0,0
2012-02-01,111.3,2012,2,1,1,32,5,2,0,0,0
2012-02-02,112.48,2012,2,2,1,33,5,3,0,0,0
2012-02-03,114.71,2012,2,3,1,34,5,4,0,0,0
2012-02-05,114.91,2012,2,5,1,36,5,6,0,0,0
2012-02-06,116.47,2012,2,6,1,37,6,0,0,0,0
2012-02-07,116.01,2012,2,7,1,38,6,1,0,0,0
2012-02-08,117.85,2012,2,8,1,39,6,2,0,0,0
2012-02-09,118.18,2012,2,9,1,40,6,3,0,0,0
