Дата;Значение
20.07.2016;9
21.07.2016;2
22.07.2016;1
23.07.2016;1
24.07.2016;3
25.07.2016;1
26.07.2016;1
27.07.2016;1
28.07.2016;1
29.07.2016;1
30.07.2016;1
31.07.2016;2
01.08.2016;1
02.08.2016;1
03.08.2016;8
04.08.2016;1
05.08.2016;0
06.08.2016;3
07.08.2016;9
08.08.2016;1
09.08.2016;1
10.08.2016;1
11.08.2016;1
12.08.2016;1
13.08.2016;2
14.08.2016;4
15.08.2016;8
16.08.2016;5
17.08.2016;1
18.08.2016;2
19.08.2016;2
20.08.2016;1
21.08.2016;3
22.08.2016;1
23.08.2016;1
24.08.2016;1
25.08.2016;1
26.08.2016;1
27.08.2016;3
28.08.2016;1
29.08.2016;1
30.08.2016;8
31.08.2016;1
01.09.2016;3
02.09.2016;9
03.09.2016;0
04.09.2016;8
05.09.2016;3
06.09.2016;1
07.09.2016;1
08.09.2016;2
09.09.2016;3
10.09.2016;2
11.09.2016;2
12.09.2016;1
13.09.2016;1
14.09.2016;1
15.09.2016;9
16.09.2016;1
17.09.2016;1
18.09.2016;4
19.09.2016;3
20.09.2016;2
21.09.2016;2
22.09.2016;1
23.09.2016;1
24.09.2016;8
25.09.2016;1
26.09.2016;7
27.09.2016;1
28.09.2016;1
29.09.2016;1
30.09.2016;1
01.10.2016;1
02.10.2016;1
03.10.2016;8
04.10.2016;1
05.10.2016;1
06.10.2016;3
07.10.2016;1
08.10.2016;3
09.10.2016;1
10.10.2016;4
11.10.2016;1
12.10.2016;5
13.10.2016;9
14.10.2016;1
15.10.2016;1
16.10.2016;1
17.10.2016;5
18.10.2016;1
19.10.2016;1
20.10.2016;7
21.10.2016;1
22.10.2016;1
23.10.2016;1
24.10.2016;2
25.10.2016;1
26.10.2016;1
27.10.2016;1
28.10.2016;1
29.10.2016;1
30.10.2016;3
31.10.2016;0
01.11.2016;1
02.11.2016;2
03.11.2016;1
04.11.2016;9
05.11.2016;1
06.11.2016;3
07.11.2016;3
08.11.2016;1
09.11.2016;9
10.11.2016;1
11.11.2016;1
12.11.2016;1
13.11.2016;1
14.11.2016;3
15.11.2016;3
16.11.2016;5
17.11.2016;1
18.11.2016;3
19.11.2016;1
20.11.2016;3
21.11.2016;1
22.11.2016;3
23.11.2016;1
24.11.2016;1
25.11.2016;1
26.11.2016;1
27.11.2016;3
28.11.2016;3
29.11.2016;0
30.11.2016;1
01.12.2016;1
02.12.2016;1
03.12.2016;1
04.12.2016;8
05.12.2016;3
06.12.2016;1
07.12.2016;5
08.12.2016;4
09.12.2016;1
10.12.2016;9
11.12.2016;1
12.12.2016;9
13.12.2016;1
14.12.2016;1
15.12.2016;2
16.12.2016;1
17.12.2016;1
18.12.2016;1
19.12.2016;3
20.12.2016;9
21.12.2016;1
22.12.2016;1
23.12.2016;1
24.12.2016;1
25.12.2016;2
26.12.2016;1
27.12.2016;3
28.12.2016;0
29.12.2016;0
30.12.2016;1
31.12.2016;1
01.01.2017;1
02.01.2017;1
03.01.2017;1
04.01.2017;1
05.01.2017;1
06.01.2017;8
07.01.2017;1
08.01.2017;1
09.01.2017;8
10.01.2017;1
11.01.2017;4
12.01.2017;3
13.01.2017;1
14.01.2017;3
15.01.2017;1
16.01.2017;3
17.01.2017;3
18.01.2017;1
19.01.2017;5
20.01.2017;1
21.01.2017;1
22.01.2017;1
23.01.2017;0
24.01.2017;1
25.01.2017;1
26.01.2017;1
27.01.2017;1
28.01.2017;8
29.01.2017;8
30.01.2017;1
31.01.2017;1
01.02.2017;1
02.02.2017;1
03.02.2017;8
04.02.2017;1
05.02.2017;1
06.02.2017;1
07.02.2017;1
08.02.2017;1
09.02.2017;5
10.02.2017;1
11.02.2017;1
12.02.2017;3
13.02.2017;1
14.02.2017;1
15.02.2017;1
16.02.2017;1
17.02.2017;3
18.02.2017;0
19.02.2017;1
20.02.2017;3
21.02.2017;0
22.02.2017;1
23.02.2017;1
24.02.2017;5
25.02.2017;8
26.02.2017;3
27.02.2017;0
28.02.2017;8
01.03.2017;0
02.03.2017;9
03.03.2017;4
04.03.2017;0
05.03.2017;8
06.03.2017;2
07.03.2017;1
08.03.2017;1
09.03.2017;1
10.03.2017;5
11.03.2017;1
12.03.2017;1
13.03.2017;0
14.03.2017;10
15.03.2017;0
16.03.2017;0
17.03.2017;1
18.03.2017;1
19.03.2017;2
20.03.2017;1
21.03.2017;1
22.03.2017;1
23.03.2017;2
24.03.2017;1
25.03.2017;1
26.03.2017;1
27.03.2017;2
28.03.2017;1
29.03.2017;3
30.03.2017;2
31.03.2017;1
01.04.2017;8
02.04.2017;9
03.04.2017;0
04.04.2017;0
05.04.2017;5
06.04.2017;0
07.04.2017;1
08.04.2017;1
09.04.2017;1
10.04.2017;2
11.04.2017;1
12.04.2017;3
13.04.2017;1
14.04.2017;1
15.04.2017;8
16.04.2017;2
17.04.2017;1
18.04.2017;9
19.04.2017;1
20.04.2017;1
21.04.2017;3
22.04.2017;3
23.04.2017;8
24.04.2017;3
25.04.2017;1
26.04.2017;0
27.04.2017;1
28.04.2017;8
29.04.2017;1
30.04.2017;5
01.05.2017;1
02.05.2017;2
03.05.2017;0
04.05.2017;1
05.05.2017;1
06.05.2017;1
07.05.2017;0
08.05.2017;1
09.05.2017;1
10.05.2017;1
11.05.2017;1
12.05.2017;0
13.05.2017;5
14.05.2017;8
15.05.2017;2
16.05.2017;1
17.05.2017;1
18.05.2017;8
19.05.2017;1
20.05.2017;1
21.05.2017;8
22.05.2017;0
23.05.2017;1
24.05.2017;8
25.05.2017;2
26.05.2017;1
27.05.2017;1
28.05.2017;1
29.05.2017;3
30.05.2017;0
31.05.2017;1
01.06.2017;8
02.06.2017;0
03.06.2017;1
04.06.2017;0
05.06.2017;1
06.06.2017;1
07.06.2017;8
08.06.2017;1
09.06.2017;0
10.06.2017;1
11.06.2017;1
12.06.2017;2
13.06.2017;5
14.06.2017;1
15.06.2017;1
16.06.2017;1
17.06.2017;8
18.06.2017;1
19.06.2017;0
20.06.2017;0
21.06.2017;1
22.06.2017;2
23.06.2017;1
24.06.2017;1
25.06.2017;1
26.06.2017;8
27.06.2017;1
28.06.2017;0
29.06.2017;1
30.06.2017;1
01.07.2017;3
02.07.2017;8
03.07.2017;8
04.07.2017;1
05.07.2017;1
06.07.2017;4
07.07.2017;5
08.07.2017;1
09.07.2017;1
10.07.2017;1
11.07.2017;1
12.07.2017;1
13.07.2017;1
14.07.2017;5
15.07.2017;1
16.07.2017;8
17.07.2017;0
18.07.2017;1
19.07.2017;1
20.07.2017;1
21.07.2017;1
22.07.2017;0
23.07.2017;1
24.07.2017;1
25.07.2017;1
26.07.2017;0
27.07.2017;8
28.07.2017;0
29.07.2017;0
30.07.2017;3
31.07.2017;0
01.08.2017;1
02.08.2017;1
03.08.2017;3
04.08.2017;9
05.08.2017;1
06.08.2017;1
07.08.2017;3
08.08.2017;1
09.08.2017;5
10.08.2017;3
11.08.2017;1
12.08.2017;1
13.08.2017;1
14.08.2017;1
15.08.2017;0
16.08.2017;5
17.08.2017;4
18.08.2017;8
19.08.2017;1
20.08.2017;1
21.08.2017;1
22.08.2017;1
23.08.2017;1
24.08.2017;2
25.08.2017;0
26.08.2017;1
27.08.2017;1
28.08.2017;1
29.08.2017;9
30.08.2017;0
31.08.2017;1
01.09.2017;1
02.09.2017;3
03.09.2017;1
04.09.2017;1
05.09.2017;1
06.09.2017;4
07.09.2017;3
08.09.2017;1
09.09.2017;1
10.09.2017;9
11.09.2017;1
12.09.2017;0
13.09.2017;1
14.09.2017;1
15.09.2017;8
16.09.2017;1
17.09.2017;2
18.09.2017;2
19.09.2017;1
20.09.2017;1
21.09.2017;8
22.09.2017;0
23.09.2017;5
24.09.2017;1
25.09.2017;0
26.09.2017;1
27.09.2017;5
28.09.2017;2
29.09.2017;1
30.09.2017;8
01.10.2017;1
02.10.2017;0
03.10.2017;1
04.10.2017;2
05.10.2017;1
06.10.2017;8
07.10.2017;1
08.10.2017;2
09.10.2017;2
10.10.2017;1
11.10.2017;1
12.10.2017;1
13.10.2017;1
14.10.2017;1
15.10.2017;1
16.10.2017;2
17.10.2017;5
18.10.2017;2
19.10.2017;4
20.10.2017;5
21.10.2017;3
22.10.2017;2
23.10.2017;1
24.10.2017;1
25.10.2017;9
26.10.2017;0
27.10.2017;1
28.10.2017;2
29.10.2017;1
30.10.2017;1
31.10.2017;2
01.11.2017;1
02.11.2017;1
03.11.2017;1
04.11.2017;1
05.11.2017;1
06.11.2017;1
07.11.2017;1
08.11.2017;5
09.11.2017;1
10.11.2017;0
11.11.2017;1
12.11.2017;1
13.11.2017;1
14.11.2017;5
15.11.2017;1
16.11.2017;1
17.11.2017;8
18.11.2017;1
19.11.2017;3
20.11.2017;8
21.11.2017;4
22.11.2017;1
23.11.2017;1
24.11.2017;2
25.11.2017;2
26.11.2017;1
27.11.2017;0
28.11.2017;1
29.11.2017;3
30.11.2017;1
01.12.2017;5
02.12.2017;1
03.12.2017;1
04.12.2017;1
05.12.2017;5
06.12.2017;1
07.12.2017;5
08.12.2017;1
09.12.2017;1
10.12.2017;5
11.12.2017;1
12.12.2017;1
13.12.2017;0
14.12.2017;8
15.12.2017;1
16.12.2017;1
17.12.2017;1
18.12.2017;1
19.12.2017;1
20.12.2017;0
21.12.2017;1
22.12.2017;1
23.12.2017;1
24.12.2017;1
25.12.2017;8
26.12.2017;8
27.12.2017;8
28.12.2017;1
29.12.2017;1
30.12.2017;2
31.12.2017;1
01.01.2018;5
02.01.2018;1
03.01.2018;1
04.01.2018;1
05.01.2018;3
06.01.2018;3
07.01.2018;3
08.01.2018;1
09.01.2018;1
10.01.2018;8
11.01.2018;1
12.01.2018;0
13.01.2018;0
14.01.2018;5
15.01.2018;3
16.01.2018;1
17.01.2018;1
18.01.2018;8
19.01.2018;1
20.01.2018;2
21.01.2018;2
22.01.2018;0
23.01.2018;1
24.01.2018;3
25.01.2018;1
26.01.2018;1
27.01.2018;1
28.01.2018;5
29.01.2018;1
30.01.2018;1
31.01.2018;2
01.02.2018;3
02.02.2018;5
03.02.2018;1
04.02.2018;1
05.02.2018;1
06.02.2018;8
07.02.2018;1
08.02.2018;8
09.02.2018;1
10.02.2018;1
11.02.2018;1
12.02.2018;1
13.02.2018;1
14.02.2018;1
15.02.2018;8
16.02.2018;1
17.02.2018;8
18.02.2018;1
19.02.2018;1
20.02.2018;2
21.02.2018;1
22.02.2018;2
23.02.2018;3
24.02.2018;1
25.02.2018;1
26.02.2018;4
27.02.2018;3
28.02.2018;1
01.03.2018;1
02.03.2018;5
03.03.2018;5
04.03.2018;1
05.03.2018;1
06.03.2018;8
07.03.2018;0
08.03.2018;1
09.03.2018;1
10.03.2018;1
11.03.2018;1
12.03.2018;1
13.03.2018;8
14.03.2018;1
15.03.2018;1
16.03.2018;1
17.03.2018;1
18.03.2018;1
19.03.2018;1
20.03.2018;1
21.03.2018;1
22.03.2018;1
23.03.2018;1
24.03.2018;1
25.03.2018;1
26.03.2018;1
27.03.2018;1
28.03.2018;2
29.03.2018;2
30.03.2018;8
31.03.2018;3
01.04.2018;4
02.04.2018;4
03.04.2018;1
04.04.2018;8
05.04.2018;0
06.04.2018;2
07.04.2018;1
08.04.2018;5
09.04.2018;1
10.04.2018;0
11.04.2018;1
12.04.2018;2
13.04.2018;1
14.04.2018;1
15.04.2018;1
16.04.2018;1
17.04.2018;1
18.04.2018;8
19.04.2018;0
20.04.2018;1
21.04.2018;1
22.04.2018;1
23.04.2018;1
24.04.2018;1
25.04.2018;8
26.04.2018;1
27.04.2018;2
28.04.2018;1
29.04.2018;1
30.04.2018;2
